SpireID,Dept,Number,Days,StartTime,EndTime,Associated,SectionNum,PrimaryClass,Instructor,CourseName,GenEd,MinCredit,MaxCredit
"36170","Accounting","ACCOUNTG  496","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"36174","Accounting","ACCOUNTG  496H","","1:00:00AM","1:00:00AM","","01","true","","Hnr Indstu In Acctg","","1.00","6.00"
"36178","Accounting","ACCOUNTG  498","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","6.00"
"36160","Accounting","ACCOUNTG  498Y","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"36161","Accounting","ACCOUNTG  499P","","1:00:00AM","1:00:00AM","","01","true","","Honors Project","","3.00","6.00"
"36162","Accounting","ACCOUNTG  499T","","1:00:00AM","1:00:00AM","","01","true","","Honors Thesis","","3.00","6.00"
"36163","Accounting","ACCOUNTG  499Y","","1:00:00AM","1:00:00AM","","01","true","","Honors Research","","3.00","6.00"
"30576","Aerospace Studies","AEROSPAC  111","TH","8:00:00AM","8:50:00AM","","01","true","","Air Force Today I","","1.00","1.00"
"30577","Aerospace Studies","AEROSPAC  111","TU","4:00:00PM","6:00:00PM","","L01","false","","Air Force Today I","","1.00","1.00"
"30582","Aerospace Studies","AEROSPAC  191A","TUTH","6:30:00AM","7:30:00AM","","01","true","","S-Adv Physcl Condtng","","1.00","1.00"
"30578","Aerospace Studies","AEROSPAC  223","TU","8:00:00AM","8:50:00AM","","01","true","","Air Force Way I","","1.00","1.00"
"30579","Aerospace Studies","AEROSPAC  223","TU","3:00:00PM","6:00:00PM","","L01","false","","Air Force Way I","","1.00","1.00"
"30587","Aerospace Studies","AEROSPAC  335","","1:00:00AM","1:00:00AM","","01","true","","Air Frc Ldrsh&Mgt I","","3.00","3.00"
"30588","Aerospace Studies","AEROSPAC  335","TU","3:00:00PM","6:00:00PM","","L01","false","","Air Frc Ldrsh&Mgt I","","3.00","3.00"
"30585","Aerospace Studies","AEROSPAC  398","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"30586","Aerospace Studies","AEROSPAC  441","","1:00:00AM","1:00:00AM","","01","true","","Preprtn Actv Duty I","","3.00","3.00"
"30584","Aerospace Studies","AEROSPAC  441","TU","3:00:00PM","6:00:00PM","","L01","false","","Preprtn Actv Duty I","","3.00","3.00"
"30581","Aerospace Studies","AEROSPAC  496","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","3.00","6.00"
"30627","Afro-American Studies","AFROAM  101","TUTH","5:30:00PM","6:45:00PM","","01","true","","Introduction to Black Studies","","3.00","3.00"
"30624","Afro-American Studies","AFROAM  117","MW","9:05:00AM","9:55:00AM","","01","true","","Survey Of Afro-American Lit","","3.00","3.00"
"38122","Afro-American Studies","AFROAM  117","F","12:20:00PM","1:10:00PM","","D01","false","","Survey Of Afro-American Lit","","3.00","3.00"
"38123","Afro-American Studies","AFROAM  117","F","1:25:00PM","2:15:00PM","","D02","false","","Survey Of Afro-American Lit","","3.00","3.00"
"38124","Afro-American Studies","AFROAM  117","F","12:20:00PM","1:10:00PM","","D03","false","","Survey Of Afro-American Lit","","3.00","3.00"
"38125","Afro-American Studies","AFROAM  117","F","1:25:00PM","2:15:00PM","","D04","false","","Survey Of Afro-American Lit","","3.00","3.00"
"30607","Afro-American Studies","AFROAM  132","MW","3:35:00PM","4:25:00PM","","01","true","","African-Amer History 1619-1860","","4.00","4.00"
"30628","Afro-American Studies","AFROAM  132","F","10:10:00AM","11:00:00AM","","D01","false","","African-Amer History 1619-1860","","4.00","4.00"
"30629","Afro-American Studies","AFROAM  132","F","11:15:00AM","12:05:00PM","","D02","false","","African-Amer History 1619-1860","","4.00","4.00"
"30630","Afro-American Studies","AFROAM  132","F","10:10:00AM","11:00:00AM","","D03","false","","African-Amer History 1619-1860","","4.00","4.00"
"30631","Afro-American Studies","AFROAM  132","F","11:15:00AM","12:05:00PM","","D04","false","","African-Amer History 1619-1860","","4.00","4.00"
"30632","Afro-American Studies","AFROAM  132","F","10:10:00AM","11:00:00AM","","D05","false","","African-Amer History 1619-1860","","4.00","4.00"
"30633","Afro-American Studies","AFROAM  132","F","11:15:00AM","12:05:00PM","","D06","false","","African-Amer History 1619-1860","","4.00","4.00"
"30634","Afro-American Studies","AFROAM  151","MW","10:10:00AM","11:00:00AM","","01","true","","Literature & Culture","","4.00","4.00"
"38126","Afro-American Studies","AFROAM  151","F","10:10:00AM","11:00:00AM","","D01","false","","Literature & Culture","","4.00","4.00"
"38127","Afro-American Studies","AFROAM  151","F","11:15:00AM","12:05:00PM","","D02","false","","Literature & Culture","","4.00","4.00"
"38128","Afro-American Studies","AFROAM  151","F","10:10:00AM","11:00:00AM","","D03","false","","Literature & Culture","","4.00","4.00"
"38129","Afro-American Studies","AFROAM  151","F","11:15:00AM","12:05:00PM","","D04","false","","Literature & Culture","","4.00","4.00"
"38131","Afro-American Studies","AFROAM  191A","TUTH","9:30:00AM","10:45:00AM","","01","true","","S-African Amer Short Stories","","4.00","4.00"
"30604","Afro-American Studies","AFROAM  192F","TH","5:30:00PM","6:45:00PM","","01","true","","S-Freshmen Survival Techniques","","4.00","4.00"
"30608","Afro-American Studies","AFROAM  196","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30639","Afro-American Studies","AFROAM  196H","","1:00:00AM","1:00:00AM","","01","true","","Hnr Indstu In Afroam","","1.00","6.00"
"30636","Afro-American Studies","AFROAM  197A","TH","6:00:00PM","8:30:00PM","","01","true","","ST-TastHny:BlkFilm/50's,Part 1","","1.00","1.00"
"30623","Afro-American Studies","AFROAM  236","MW","10:10:00AM","11:00:00AM","","A","true","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39484","Afro-American Studies","AFROAM  236","F","11:15:00AM","12:05:00PM","","AD01","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39485","Afro-American Studies","AFROAM  236","F","12:20:00PM","1:10:00PM","","AD02","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39486","Afro-American Studies","AFROAM  236","F","11:15:00AM","12:05:00PM","","AD03","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39487","Afro-American Studies","AFROAM  236","F","11:15:00AM","12:05:00PM","","AD04","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39488","Afro-American Studies","AFROAM  236","F","11:15:00AM","12:05:00PM","","AD05","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"39489","Afro-American Studies","AFROAM  236","F","12:20:00PM","1:10:00PM","","AD06","false","","Hist of  the Civil Rights Mvmt","","4.00","4.00"
"30635","Afro-American Studies","AFROAM  254","TUTH","4:00:00PM","5:15:00PM","","01","true","","Introduction African Studies","","4.00","4.00"
"38151","Afro-American Studies","AFROAM  254","F","11:15:00AM","12:05:00PM","","D01","false","","Introduction African Studies","","4.00","4.00"
"38152","Afro-American Studies","AFROAM  254","F","12:20:00PM","1:10:00PM","","D02","false","","Introduction African Studies","","4.00","4.00"
"30609","Afro-American Studies","AFROAM  296","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30620","Afro-American Studies","AFROAM  296H","","1:00:00AM","1:00:00AM","","01","true","","Hnrs Indstu Afroam","","1.00","6.00"
"38063","Afro-American Studies","AFROAM  297A","TH","7:00:00PM","9:30:00PM","","01","true","","ST-Black Springfield:Revisited","","3.00","3.00"
"38197","Afro-American Studies","AFROAM  297S","TUTH","11:15:00AM","12:30:00PM","","01","true","","ST-Unknown Soldiers","","3.00","3.00"
"38153","Afro-American Studies","AFROAM  331","TU","7:00:00PM","9:30:00PM","","01","true","","Life of  W.E.B. Du Bois","","3.00","3.00"
"30626","Afro-American Studies","AFROAM  365","TUTH","1:00:00PM","2:15:00PM","","01","true","","Composition:Style&Organization","","3.00","3.00"
"38154","Afro-American Studies","AFROAM  392C","TUTH","11:15:00AM","12:30:00PM","","01","true","","S-Songbirds,BluesWomen,Soul","","3.00","3.00"
"30605","Afro-American Studies","AFROAM  395G","TU","5:30:00PM","6:45:00PM","","01","true","","S-Peer Leadership&Facilitation","","3.00","3.00"
"39495","Afro-American Studies","AFROAM  395G","TH","5:30:00PM","6:45:00PM","","02","false","","S-Peer Leadership&Facilitation","","3.00","3.00"
"30610","Afro-American Studies","AFROAM  396","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30621","Afro-American Studies","AFROAM  396H","","1:00:00AM","1:00:00AM","","01","true","","Hnr Indstu In Afroam","","1.00","6.00"
"30625","Afro-American Studies","AFROAM  397B","W","7:00:00PM","9:30:00PM","","01","true","","ST-Native Amer/African Amer","","3.00","3.00"
"30602","Afro-American Studies","AFROAM  494DI","W","12:00:00PM","2:30:00PM","","01","true","","DuBois Senior Seminar","","3.00","3.00"
"30611","Afro-American Studies","AFROAM  496","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","3.00","3.00"
"30612","Afro-American Studies","AFROAM  496Y","","1:00:00AM","1:00:00AM","","01","true","","Senior Thesis","","1.00","6.00"
"30613","Afro-American Studies","AFROAM  498Y","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"30614","Afro-American Studies","AFROAM  499P","","1:00:00AM","1:00:00AM","","01","true","","Honors Project","","3.00","6.00"
"30615","Afro-American Studies","AFROAM  499T","","1:00:00AM","1:00:00AM","","01","true","","Honors Thesis","","3.00","6.00"
"30616","Afro-American Studies","AFROAM  499Y","","1:00:00AM","1:00:00AM","","01","true","","Honors Research","","3.00","6.00"
"30601","Afro-American Studies","AFROAM  691F","TH","2:30:00PM","5:00:00PM","","01","true","","S-Black Pol Strg & Amer Pol S","","4.00","4.00"
"38158","Afro-American Studies","AFROAM  692F","M","12:00:00PM","2:30:00PM","","01","true","","S-From Reconstruction to Renai","","4.00","4.00"
"30600","Afro-American Studies","AFROAM  692Q","TH","12:00:00PM","2:30:00PM","","01","true","","S-AfrDiaspora:Intro/Cncpt&Hist","","4.00","4.00"
"30617","Afro-American Studies","AFROAM  696","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30622","Afro-American Studies","AFROAM  696A","","1:00:00AM","1:00:00AM","","01","true","","IS-Qualifying Examination","","1.00","6.00"
"30618","Afro-American Studies","AFROAM  699","","1:00:00AM","1:00:00AM","","01","true","","Masters Thesis","","1.00","10.00"
"30637","Afro-American Studies","AFROAM  701","MW","2:30:00PM","5:00:00PM","","01","true","","Major Work inAfro-Am Studies I","","9.00","9.00"
"30619","Afro-American Studies","AFROAM  899","","1:00:00AM","1:00:00AM","","01","true","","Ph D Dissertation","","1.00","9.00"
"37915","Animal Science","ANIMLSCI     H04","","1:00:00AM","1:00:00AM","","01","true","","Honors Colloq ANIMLSCI 521","","1.00","9.00"
"30648","Animal Science","ANIMLSCI  101","TUTH","9:30:00AM","10:45:00AM","","01","true","","Introduction to Animal Science","","1.00","9.00"
"30649","Animal Science","ANIMLSCI  101","M","1:25:00PM","4:25:00PM","","L01","false","","Introduction to Animal Science","","1.00","9.00"
"30650","Animal Science","ANIMLSCI  101","TU","1:25:00PM","4:25:00PM","","L02","false","","Introduction to Animal Science","","1.00","9.00"
"30651","Animal Science","ANIMLSCI  101","W","1:25:00PM","4:25:00PM","","L03","false","","Introduction to Animal Science","","1.00","9.00"
"30652","Animal Science","ANIMLSCI  101","TH","1:25:00PM","4:25:00PM","","L04","false","","Introduction to Animal Science","","4.00","4.00"
"30653","Animal Science","ANIMLSCI  196","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30681","Animal Science","ANIMLSCI  196H","","1:00:00AM","1:00:00AM","","01","true","","Hnr Indstu In An Sci","","1.00","6.00"
"30654","Animal Science","ANIMLSCI  220","MWF","11:15:00AM","12:05:00PM","","01","true","","Phys&Anat/Dmstc Anml","","4.00","4.00"
"30655","Animal Science","ANIMLSCI  220","TU","9:00:00AM","11:00:00AM","","L01","false","","Phys&Anat/Dmstc Anml","","4.00","4.00"
"30656","Animal Science","ANIMLSCI  220","TU","1:00:00PM","3:00:00PM","","L02","false","","Phys&Anat/Dmstc Anml","","4.00","4.00"
"30657","Animal Science","ANIMLSCI  220","TU","3:15:00PM","5:15:00PM","","L03","false","","Phys&Anat/Dmstc Anml","","4.00","4.00"
"30658","Animal Science","ANIMLSCI  220","F","9:00:00AM","11:00:00AM","","L04","false","","Phys&Anat/Dmstc Anml","","4.00","4.00"
"30661","Animal Science","ANIMLSCI  260","TUTH","11:15:00AM","12:30:00PM","","01","true","","Farm Animal Care & Welfare","","4.00","4.00"
"37916","Animal Science","ANIMLSCI  260","M","10:10:00AM","11:00:00AM","","D01","false","","Farm Animal Care & Welfare","","4.00","4.00"
"37917","Animal Science","ANIMLSCI  260","W","10:10:00AM","11:00:00AM","","D02","false","","Farm Animal Care & Welfare","","4.00","4.00"
"37919","Animal Science","ANIMLSCI  260","F","10:10:00AM","11:00:00AM","","D03","false","","Farm Animal Care & Welfare","","4.00","4.00"
"30690","Animal Science","ANIMLSCI  290F","MWF","9:05:00AM","9:55:00AM","","01","true","","Fundmentl Vet & Biomedical Lab","","4.00","4.00"
"30691","Animal Science","ANIMLSCI  290F","M","1:00:00PM","3:45:00PM","","L01","false","","Fundmentl Vet & Biomedical Lab","","4.00","4.00"
"30659","Animal Science","ANIMLSCI  296","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30682","Animal Science","ANIMLSCI  296H","","1:00:00AM","1:00:00AM","","01","true","","Hnrs Indstu An Sci","","1.00","6.00"
"30692","Animal Science","ANIMLSCI  296T","","1:00:00AM","1:00:00AM","","01","true","","P-Intro to Teaching ANSCI","","1.00","2.00"
"39832","Animal Science","ANIMLSCI  297D","","1:00:00AM","1:00:00AM","","01","true","","ST-Dairy Calf Management","","2.00","2.00"
"30679","Animal Science","ANIMLSCI  298","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"30646","Animal Science","ANIMLSCI  298E","TU","6:30:00PM","8:00:00PM","","01","true","","Practicum-Dorset Sheep Mgmt","","1.00","1.00"
"30645","Animal Science","ANIMLSCI  298M","TH","6:00:00PM","8:00:00PM","","01","true","","Practicum-Belted Galloway Mgmt","","1.00","1.00"
"30644","Animal Science","ANIMLSCI  298S","M","6:00:00PM","9:00:00PM","","01","true","","Practicum-Boer Goat Mgmt","","1.00","1.00"
"30647","Animal Science","ANIMLSCI  298W","TU","5:30:00PM","6:30:00PM","","01","true","","Practicum-Poultry Mgmt","","1.00","1.00"
"30660","Animal Science","ANIMLSCI  311","MWF","8:00:00AM","8:50:00AM","","01","true","","Anml Genetc&Breeding","","3.00","3.00"
"30662","Animal Science","ANIMLSCI  396","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30683","Animal Science","ANIMLSCI  396H","","1:00:00AM","1:00:00AM","","01","true","","Hnrs Indstu An Sci","","1.00","6.00"
"30693","Animal Science","ANIMLSCI  396T","","1:00:00AM","1:00:00AM","","01","true","","P-Advanced Teaching in ANSCI","","1.00","2.00"
"30680","Animal Science","ANIMLSCI  398","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"30686","Animal Science","ANIMLSCI  421","TUTH","8:00:00AM","9:15:00AM","","01","true","","Fundamentals of Reproduction","","3.00","3.00"
"37920","Animal Science","ANIMLSCI  432","MWF","11:15:00AM","12:05:00PM","","01","true","","Advanced Animal Nutrition","","3.00","3.00"
"30663","Animal Science","ANIMLSCI  496","","1:00:00AM","1:00:00AM","","01","true","","Independent Study","","1.00","6.00"
"30684","Animal Science","ANIMLSCI  496H","","1:00:00AM","1:00:00AM","","01","true","","Hnrs Indstu An Sci","","1.00","6.00"
"37921","Animal Science","ANIMLSCI  497S","MWF","1:00:00AM","1:00:00AM","","01","true","","ST-Techniq in Nutritional Res","","2.00","2.00"
"30664","Animal Science","ANIMLSCI  498Y","","1:00:00AM","1:00:00AM","","01","true","","Practicum","","1.00","18.00"
"30685","Animal Science","ANIMLSCI  499P","","1:00:00AM","1:00:00AM","","01","true","","Honors Project","","3.00","6.00"
"30665","Animal Science","ANIMLSCI  499T","","1:00:00AM","1:00:00AM","","01","true","","Honors Thesis","","3.00","6.00"
"30666","Animal Science","ANIMLSCI  499Y","","1:00:00AM","1:00:00AM","","01","true","","Honors Research","","3.00","6.00"
"30673","Animal Science","ANIMLSCI  521","MWF","9:05:00AM","9:55:00AM","","01","true","","Physiol Of Reprod","","4.00","4.00"
